
id,jira_id,summary,module,priority,severity,labels,preconditions,steps,expected_result,test_type,owner,sprint,status
TC-00001,VWO-2989,Verify Device tab on report breaks down by device (smoke),Reports,P2,Major,regression|sanity,Report ready,1. Open Device tab,Mobile/desktop/tablet stats shown,Functional,aditya.rao,VWO-25.S38,Active
TC-00002,VWO-1343,Verify Variation Editor loads target URL in iframe (regression),Editor,P3,Minor,firefox|i18n|sanity|smoke|ui,A/B Draft,1. Open editor,Iframe renders site | Toolbar visible,UI,promode.dutta,VWO-25.S52,Active
TC-00003,VWO-5136,Verify changing user role from Viewer to Admin (p0),Admin,P0,Blocker,accessibility|e2e|mobile|regression,User exists Viewer,1. Edit user || 2. Change role || 3. Save,Role updated; permissions reload,Functional,sara.patel,VWO-25.S07,Active
TC-00004,VWO-1112,Verify Device tab on report breaks down by device (p1),Reports,P2,Major,e2e|regression,Report ready,1. Open Device tab,Mobile/desktop/tablet stats shown,Functional,anika.bose,VWO-25.S44,Active
TC-00005,VWO-1684,Verify setting user properties on Android SDK (critical-path),Mobile,P1,Critical,api|gdpr|mobile,SDK initialised,"1. setUserProperty('plan','pro')",Reports filterable by plan=pro,Functional,riya.sharma,VWO-25.S38,Active
TC-00006,VWO-4736,Verify video-play goal triggers on YouTube embed play (edge case),Goals,P2,Major,regression|smoke,YouTube iframe on page,1. Add video goal || 2. Play video,Conversion recorded,Functional,arjun.kapoor,VWO-25.S52,Active
TC-00007,VWO-3966,Verify permanent delete of A/B campaign requires typed confirmation (boundary),AB Testing,P1,Major,mobile|regression|smoke,Campaign 8140 archived,1. Open /campaigns/8140 || 2. Click Delete Forever || 3. Type campaign name || 4. Click Delete,Campaign removed from list | GET /campaigns/{cid} returns 404,Negative,dev.ranganathan,VWO-25.S43,Active
TC-00008,VWO-5854,Verify cookie-based targeting on A/B test (cookie 'plan=pro') (negative),AB Testing,P2,Minor,firefox|i18n|regression|safari,A/B campaign Draft,1. Add cookie condition plan=pro || 2. Save,Only visitors with cookie are bucketed | Others see control,Functional,harsh.gupta,VWO-25.S22,Active
TC-00009,VWO-1572,Verify duplicate of A/B campaign copies variations and goals (positive),AB Testing,P2,Critical,accessibility|performance|regression|security,Campaign 1691 exists with 3 variations and 2 goals,1. Open /campaigns/1691 || 2. Click overflow > Duplicate || 3. Enter new name,New campaign created with 3 variations + 2 goals | Status = Draft,Functional,vikram.singh,VWO-25.S52,Active
TC-00010,VWO-2560,Verify A/B test name accepts exactly 80 characters (retry),AB Testing,P2,Trivial,firefox|regression|security,User on /campaigns/ab/new,1. Enter 80-char name || 2. Save,Save succeeds | Name stored as entered,Boundary,promode.dutta,VWO-25.S13,Active
TC-00011,VWO-1860,Verify only one active connection per Segment workspace (low-bandwidth),Integrations,P1,Critical,regression|security,Segment already connected,1. Try connect again,Warning 'Already connected',Negative,ishaan.mehta,VWO-25.S12,Active
TC-00012,VWO-2495,Verify adding annotation to report timeline (high-load),Reports,P1,Minor,regression|safari,Report timeline view,"1. Click on date, add note 'BFCM start'","Annotation persists, visible to team",Functional,anika.bose,VWO-25.S51,Active
